borough;numfloors;LAT;LONG;coordinates 
BX;7.0;40.8877703;-73.907848;40.8877703, -73.907848
BX;7.0;40.8124338;-73.908086;40.8124338, -73.908086
BX;22.0;40.8172482;-73.908195;40.8172482, -73.908195
BX;8.0;40.8270223;-73.908438;40.8270223, -73.908438
QN;7.0;40.6990709;-73.908758;40.6990709, -73.908758
BX;9.0;40.8871838;-73.908847;40.8871838, -73.908847
BX;7.0;40.8435488;-73.909196;40.8435488, -73.909196
BK;17.0;40.6553278;-73.909272;40.6553278, -73.909272
BK;7.0;40.6716675;-73.909275;40.6716675, -73.909275
BX;8.0;40.825928;-73.909491;40.825928, -73.909491
BX;8.0;40.8879338;-73.909808;40.8879338, -73.909808
BX;11.0;40.8479338;-73.911355;40.8479338, -73.911355
BX;19.Mai;40.8879685;-73.912119;40.8879685, -73.912119
BX;7.0;40.8304755;-73.912354;40.8304755, -73.912354
BX;7.0;40.8358802;-73.912907;40.8358802, -73.912907
BX;7.0;40.8841278;-73.914558;40.8841278, -73.914558
BX;7.0;40.8189002;-73.914938;40.8189002, -73.914938
BX;12.0;40.8461168;-73.914961;40.8461168, -73.914961
BX;10.0;40.8167543;-73.915656;40.8167543, -73.915656
BX;17.0;40.8104587;-73.916755;40.8104587, -73.916755
BX;25.0;40.8780857;-73.916862;40.8780857, -73.916862
BK;16.0;40.6858995;-73.917134;40.6858995, -73.917134
MN;10.0;40.8719224;-73.918645;40.8719224, -73.918645
BK;7.0;40.6739365;-73.919074;40.6739365, -73.919074
BX;15.0;40.8386213;-73.919282;40.8386213, -73.919282
QN;15.0;40.7709804;-73.919411;40.7709804, -73.919411
BX;7.0;40.8418852;-73.919878;40.8418852, -73.919878
QN;8.0;40.7715189;-73.920219;40.7715189, -73.920219
QN;8.0;40.7703827;-73.920354;40.7703827, -73.920354
BK;14.0;40.6772614;-73.920494;40.6772614, -73.920494
BK;9.0;40.6988161;-73.920544;40.6988161, -73.920544
BK;7.0;40.669653;-73.920723;40.669653, -73.920723
BX;7.0;40.841167;-73.921133;40.841167, -73.921133
MN;17.0;40.8633032;-73.921396;40.8633032, -73.921396
BX;8.0;40.827806;-73.921586;40.827806, -73.921586
BX;7.0;40.8796233;-73.921619;40.8796233, -73.921619
BX;11.0;40.8321237;-73.921917;40.8321237, -73.921917
QN;7.0;40.7651938;-73.922389;40.7651938, -73.922389
BX;7.0;40.832116;-73.922806;40.832116, -73.922806
BX;13.0;40.8146349;-73.922819;40.8146349, -73.922819
BX;8.0;40.8371285;-73.923794;40.8371285, -73.923794
BX;19.0;40.8086305;-73.924401;40.8086305, -73.924401
BX;9.0;40.8364841;-73.924709;40.8364841, -73.924709
QN;7.0;40.7573977;-73.925015;40.7573977, -73.925015
BX;7.0;40.8388696;-73.925281;40.8388696, -73.925281
QN;7.0;40.7646609;-73.925931;40.7646609, -73.925931
BX;8.0;40.8344787;-73.926146;40.8344787, -73.926146
QN;12.0;40.7677765;-73.926469;40.7677765, -73.926469
BX;7.0;40.836532;-73.926552;40.836532, -73.926552
QN;12.0;40.7713972;-73.927021;40.7713972, -73.927021
MN;14.0;40.8546392;-73.927096;40.8546392, -73.927096
BX;11.0;40.8311198;-73.927147;40.8311198, -73.927147
BK;7.0;40.6690563;-73.927443;40.6690563, -73.927443
QN;7.0;40.7692623;-73.927897;40.7692623, -73.927897
BK;10.0;40.6631253;-73.928055;40.6631253, -73.928055
BX;14.0;40.8146578;-73.928509;40.8146578, -73.928509
BK;8.0;40.6682062;-73.928684;40.6682062, -73.928684
MN;7.0;40.8501224;-73.928713;40.8501224, -73.928713
BX;7.0;40.8343349;-73.928907;40.8343349, -73.928907
BK;10.0;40.6988961;-73.929578;40.6988961, -73.929578
QN;8.0;40.7669139;-73.929636;40.7669139, -73.929636
MN;9.0;40.8581869;-73.929684;40.8581869, -73.929684
BX;8.0;40.8310637;-73.929738;40.8310637, -73.929738
BX;9.0;40.8307951;-73.930237;40.8307951, -73.930237
